K,d,h,J,Ratio
30,3,0.4,11995.846831545055,0.001
30,2,0.2,1201.1207930552519,0.009
30,3,0.3,1212.9425072228214,0.003
23,4,0.3,12280.7797123956,0.002
23,3,0.3,1335.3438755871275,0.002
30,2,0.4,1336.7136426987195,0.003
30,4,0.05,14.17643405097036,0.098
10,3,0.2,160.63406457956015,0.011
30,2,0.3,160801.49877689616,0.0
20,4,0.4,1620.0639005330513,0.009
30,2,0.05,165.01149057936334,0.003
20,2,0.1,173.40751520452878,0.046
20,4,0.2,178.2686135650345,0.002
20,3,0.1,187.97823346105008,0.106
15,3,0.1,18.81917259673513,0.042
23,4,0.1,19.38852642251684,0.216
10,2,0.3,19535.289612392076,0.018
20,4,0.05,195.4796059675229,0.055
23,4,0.2,196.8572980414187,0.008
10,3,0.4,202.0784310033525,0.01
15,3,0.05,202.33370674315114,0.013
30,4,0.3,205.74185920263812,0.016
20,3,0.3,211.2751616193032,0.008
10,3,0.05,21.633369308881356,0.024
10,4,0.05,21.690031335888627,0.024
20,3,0.4,22367.86318544927,0.0
15,3,0.2,238.1779910666198,0.004
15,2,0.4,2569.6744821428665,0.0
23,2,0.05,260.8720844964984,0.017
23,2,0.4,2867.2343161930507,0.001
15,2,0.1,302.34037129484375,0.016
20,2,0.3,3055.0570486172574,0.004
30,4,0.4,31558.12048990034,0.0
15,2,0.2,324.00692878598636,0.001
15,4,0.3,329.56128578279805,0.009
30,4,0.1,3310.454917203642,0.003
20,3,0.05,34.67164432553004,0.031
20,2,0.05,3467.660920564656,0.006
10,3,0.1,348.99441606631086,0.008
23,3,0.2,3.730322703645638,0.141
30,2,0.1,374.00603425773477,0.009
23,2,0.2,379.9139416836649,0.005
20,4,0.3,403.5875003110536,0.001
20,3,0.2,413.21661529813105,0.003
15,3,0.4,420.05206864009926,0.006
23,3,0.1,440.8840056046347,0.009
15,4,0.4,4471.277750694303,0.002
23,2,0.3,454.50910740761316,0.004
10,2,0.05,492.36868267466053,0.004
30,3,0.05,50.16977142872624,0.12
10,2,0.2,511.9042722050384,0.003
20,2,0.4,515909.02640196716,0.0
23,3,0.4,52282.6624270149,0.001
15,2,0.05,529.7599200591582,0.005
10,4,0.2,552.9438798527967,0.002
15,4,0.1,56.662409755330515,0.06
15,3,0.3,591.0537314064652,0.001
20,4,0.1,6.272415429349026,0.069
15,2,0.3,653.4485160111128,0.004
10,4,0.3,673.7433060064857,0.01
23,2,0.1,679.9404834236956,0.026
10,3,0.3,693.4218519735579,0.001
23,3,0.05,69.67436127748174,0.065
10,2,0.4,70638.10421115361,0.0
30,3,0.1,737.2827648740523,0.145
30,3,0.2,74.051444584075,0.005
10,4,0.1,7.550728609364676,0.043
30,4,0.2,75.76618830203252,0.004
10,2,0.1,810.096186052218,0.006
23,4,0.4,8424.17638661749,0.002
20,2,0.2,871.6704617655347,0.003
23,4,0.05,8.93289319287295,0.083
10,4,0.4,946.1986001624826,0.005
15,4,0.05,954.7739280321259,0.016
15,4,0.2,96.11410489427415,0.02
