K,d,h,J
30,4,0.2,0.00232443158045869
20,2,0.1,0.0031810189281197697
15,4,0.1,0.004354578026192127
10,4,0.1,0.0047456268841506435
15,2,0.05,0.005631428215226288
15,3,0.05,0.0065300469828749675
15,2,0.1,0.0066240797815644145
20,3,0.1,0.007082263078741518
15,4,0.05,0.007964874602023586
20,3,0.05,0.0086024772705969
20,4,0.1,0.00990019839285019
30,3,0.05,0.011476827532011794
10,3,0.05,0.01887428267794683
30,3,0.2,0.03167656603203343
10,3,0.3,0.05627525032775019
20,3,0.2,0.07293048703909166
10,2,0.4,0.30430793869180267
15,3,0.2,0.3180828875151058
30,2,0.1,0.3263288857517131
10,3,0.1,0.5925924189268648
20,4,0.05,10.124176426098352
30,2,0.3,1047.1788908323686
20,2,0.05,11.36287610239986
20,3,0.4,1136.4878762719131
23,2,0.2,11.412142120791088
10,2,0.1,1.1527111253129514
23,3,0.3,11952.827204951232
20,4,0.4,1264.4657974022193
30,4,0.1,12.653083054962558
23,2,0.1,13.189898204652067
30,2,0.05,13.3140023956951
10,3,0.2,1.3491121764811191
30,3,0.1,13.728819848786605
20,4,0.2,14.16069090145557
15,4,0.2,14.49537139113165
15,2,0.4,14547.861297220876
10,4,0.3,15.03780333609569
20,3,0.3,1633.9931543415187
10,4,0.2,16.59349186776724
23,4,0.1,16.66051156303731
15,3,0.1,16.66751627275281
30,2,0.2,16.742932742478644
10,2,0.3,1.767596593286144
30,4,0.05,17.851737510662232
30,2,0.4,188.4279594282993
23,4,0.3,19.53588614616131
10,4,0.05,20.24558072585908
20,2,0.4,2092.999481500926
23,3,0.4,212.05594103589755
30,3,0.4,22346.01065755429
20,2,0.2,22.60086234257779
23,4,0.4,2291.276336382483
10,2,0.2,23.369205530191405
20,2,0.3,28.13421779250737
15,3,0.4,297.57695001079884
15,2,0.3,30.558559611142766
23,4,0.2,3.6107845138428196
23,3,0.1,3.6478691889084334
30,4,0.3,37041.87126819522
10,2,0.05,37.49668226531117
23,3,0.2,39.573897699473925
10,3,0.4,401.16125406827075
15,4,0.3,4.28842425411114
23,3,0.05,4.66003310422885
23,2,0.3,5.076279783444397
30,4,0.4,5127923.893484543
23,4,0.05,5.252229725913085
15,4,0.4,537099.6037128052
20,4,0.3,5.631582102604822
15,3,0.3,5693.188662489377
23,2,0.4,6031.0027270849705
23,2,0.05,6.550512300873874
10,4,0.4,801.3852603714711
30,3,0.3,850.0386838627871
15,2,0.2,93.60403511536826
