K,d,h,J
10,2,0.05,0.010829724867194062
10,2,0.1,4.242830143931717
10,2,0.2,0.008358959216454527
10,2,0.3,37.690031096732326
10,2,0.4,894.7536095474347
10,3,0.05,0.25535645654297306
10,3,0.1,0.007155194162326691
10,3,0.2,16.313048757391826
10,3,0.3,3.446208370858735
10,3,0.4,1947.2307896679602
10,4,0.05,10.785376607095106
10,4,0.1,0.0040858034631558356
10,4,0.2,0.013517359342985062
10,4,0.3,22.445007325395295
10,4,0.4,217.34699619277686
15,2,0.05,0.0015855464433803287
15,2,0.1,0.9355516985329723
15,2,0.2,29.851789283679608
15,2,0.3,188.3853892298144
15,2,0.4,1577.5453558661923
15,3,0.05,0.003413618163638106
15,3,0.1,13.965615738513199
15,3,0.2,37.92369893952919
15,3,0.3,49.77388522893048
15,3,0.4,7.930911504220591
15,4,0.05,0.00700109036432584
15,4,0.1,14.569385927485172
15,4,0.2,0.008182709602280312
15,4,0.3,105.37900872817426
15,4,0.4,138.32685610939433
20,2,0.05,7.629773468576849
20,2,0.1,0.005384442901027018
20,2,0.2,35.16625945329906
20,2,0.3,4.238437064722046
20,2,0.4,31.816049035611233
20,3,0.05,0.23470496032012864
20,3,0.1,26.14528883994364
20,3,0.2,0.004981080021497863
20,3,0.3,79.53569488128855
20,3,0.4,65752.20187373798
20,4,0.05,0.32046658332585964
20,4,0.1,15.891089083312048
20,4,0.2,0.25356000751798236
20,4,0.3,36.658409147991705
20,4,0.4,47056.90948982205
23,2,0.05,13.27626545374284
23,2,0.1,29.248177313697177
23,2,0.2,4.882478235080525
23,2,0.3,434.51406740614897
23,2,0.4,1532.7728872681648
23,3,0.05,10.669219659973095
23,3,0.1,1.3156710777032807
23,3,0.2,39.34569382714384
23,3,0.3,6931.3449106549115
23,3,0.4,21356.783364416595
23,4,0.05,2.0164335583949904
23,4,0.1,4.83621864422994
23,4,0.2,145.57151205594647
23,4,0.3,59.57190969383066
23,4,0.4,113628.87598392795
30,2,0.05,0.009465308886648371
30,2,0.1,0.0032627632119357243
30,2,0.2,0.0016693171690129293
30,2,0.3,138.54977374915583
30,2,0.4,1455.1821460080935
30,3,0.05,1.2179639927112713
30,3,0.1,7.433492657352814
30,3,0.2,12.478472071796483
30,3,0.3,0.0022124734270903296
30,3,0.4,38.52797889733775
30,4,0.05,14.17434228518237
30,4,0.1,11.919809318075927
30,4,0.2,37.530958659783046
30,4,0.3,7.122318595780157
30,4,0.4,1198.848322821502
