K,d,h,J,Ratio
30,3,0.1,0.03675764882838929,0.454
10,4,0.05,0.03915548365987047,0.463
15,4,0.1,0.04196298431822519,0.441
20,4,0.2,0.05695400433622645,0.374
30,4,0.1,0.05845823194260694,0.36
30,4,0.2,0.072569376033764,0.301
10,3,0.05,0.07350250931730738,0.303
15,4,0.05,0.1192973395869035,0.249
20,4,0.05,0.14778980184901275,0.226
23,3,0.1,0.17792199513764728,0.232
15,3,0.05,0.18684748196347087,0.181
20,3,0.05,0.2786087150022939,0.159
23,4,0.2,0.4059989868765561,0.132
20,4,0.1,0.4837094887764811,0.0
23,4,0.1,0.6406815392530029,0.116
10,4,0.2,0.7203875878896587,0.096
15,4,0.2,0.8016941756325422,0.095
30,4,0.05,1.4724260264968385,0.026
23,3,0.05,1.945016533563031,0.007
30,3,0.3,6.458931558931434,0.047
10,4,0.1,9.03655774696032,0.01
30,2,0.1,9.793301474786961,0.0
10,3,0.3,10.083722270173228,0.038
23,2,0.2,13.552185512675601,0.038
10,3,0.2,15.823009863600813,0.044
20,3,0.1,15.965824245657114,0.0
10,4,0.3,18.332406532800107,0.016
30,3,0.05,21.859716727834286,0.0
23,4,0.05,26.12456189831342,0.008
23,3,0.2,39.02328472285326,0.01
20,3,0.3,52.73995652530135,0.017
10,3,0.1,54.58039194606516,0.004
23,2,0.1,55.045599828054094,0.001
15,3,0.1,69.77521336146765,0.001
15,4,0.3,89.49612381811484,0.009
20,2,0.1,95.62473299344656,0.0
30,3,0.2,139.55286253531233,0.01
30,2,0.05,159.41397097281796,0.01
15,2,0.2,163.75588887456837,0.008
15,3,0.3,168.90075264192592,0.005
10,4,0.4,196.20543602999462,0.006
15,3,0.2,196.6950589394358,0.008
20,3,0.2,210.25284063013396,0.004
10,2,0.2,212.17397656286786,0.001
15,2,0.1,212.63251484477453,0.008
30,2,0.3,220.76513273195894,0.004
15,2,0.4,237.81226712513785,0.004
20,2,0.2,265.79612887285583,0.003
23,2,0.05,267.0735223722134,0.003
20,2,0.05,276.81660263618977,0.007
10,2,0.1,295.3656522790576,0.002
20,2,0.3,342.142182843953,0.002
23,2,0.3,351.7759865029448,0.007
10,2,0.05,377.66164758664036,0.002
15,2,0.05,438.86314091357684,0.004
20,2,0.4,581.7408931150978,0.003
10,2,0.4,738.8009978689006,0.0
30,2,0.4,827.9050795886562,0.004
23,2,0.4,937.5680657012443,0.007
30,4,0.3,1407.9078666938376,0.007
20,4,0.3,1483.37372629535,0.0
10,2,0.3,1503.818662775296,0.001
20,4,0.4,1595.2651093568436,0.002
23,3,0.4,2362.0724407957528,0.002
10,3,0.4,3454.1216606456046,0.001
15,2,0.3,5471.48852470367,0.001
30,2,0.2,6743.355290759299,0.0
20,3,0.4,6801.109815236185,0.0
23,3,0.3,12872.378910935913,0.0
30,4,0.4,25780.411552295973,0.0
23,4,0.4,28674.25728165421,0.0
15,4,0.4,33887.060034219736,0.002
30,3,0.4,38727.66200808335,0.0
23,4,0.3,40823.6056873046,0.0
15,3,0.4,162476.8952272597,0.0
