K,d,h,J
20,2,0.1,0.000773886877537679
15,4,0.05,0.004142355153454115
20,3,0.1,0.004222873639860813
10,4,0.1,0.006125037446337861
23,2,0.2,0.00728256945102555
15,3,0.05,0.007356034903953231
30,3,0.05,0.010412249128738754
10,2,0.05,0.014011072207467112
10,2,0.1,0.04135925719117416
15,4,0.2,0.04916552391084687
10,4,0.2,0.6276665673606211
30,4,0.05,0.7404373843779363
30,2,0.05,1.1651877533114645
15,3,0.1,1.3964676605980113
23,4,0.2,1.8635076968686015
15,2,0.2,1.9247314692651867
10,4,0.05,4.100102032396079
30,3,0.2,5.534196527728439
20,4,0.3,6.157722392499603
23,2,0.3,8.661831425335592
15,2,0.05,9.240966514525567
23,3,0.05,10.15951144901211
23,3,0.2,10.414328428528341
10,3,0.2,12.03586711330731
20,4,0.2,12.157975879990376
10,3,0.1,12.430280380234631
20,3,0.2,12.692191016718786
23,4,0.1,12.848470400271735
20,4,0.1,12.939110746398015
10,3,0.05,13.44653604042881
23,3,0.1,13.867086743298046
30,2,0.1,13.973181201215082
20,2,0.05,14.86138747024186
30,4,0.1,14.89323451381008
15,2,0.3,15.074499391341291
10,2,0.4,15.187367988785324
20,4,0.05,15.263643743284973
23,4,0.05,15.325212432243564
20,2,0.2,15.755009719593618
15,2,0.1,15.760297436465125
15,4,0.1,16.056704915215768
30,2,0.3,16.06524016645682
20,3,0.05,16.255015591310087
20,2,0.4,16.977932448981548
23,2,0.05,19.31010152804451
10,3,0.3,20.701938086831642
15,3,0.2,20.93572649240454
15,3,0.3,24.50739462334936
30,3,0.1,35.047267374641244
23,2,0.1,35.464423942576666
10,2,0.3,37.485549242251984
10,2,0.2,92.20140498994998
30,2,0.2,130.50696710816567
10,4,0.3,163.21997851186447
10,4,0.4,222.84350337306861
10,3,0.4,821.5545054493758
15,3,0.4,847.2729474334855
30,2,0.4,1065.9250472035517
30,3,0.3,1441.7120873673828
20,4,0.4,1647.6106938495457
20,3,0.3,1819.9087967193786
15,4,0.3,2556.325652363869
30,3,0.4,3411.4208873971456
30,4,0.3,3625.46128901021
15,2,0.4,3881.5874385748166
23,3,0.4,4281.1160685896075
23,4,0.4,4885.2504603269535
20,2,0.3,7280.140156641016
30,4,0.4,14671.928012987803
15,4,0.4,16401.750910255818
23,2,0.4,25493.940236678172
30,4,0.2,28645.56453035053
20,3,0.4,61465.31638090213
23,3,0.3,75727.30070015872
23,4,0.3,936594.2259004439
