K,d,h,J,Ratio
23,4,0.05,0.03536111086256525,0.48
20,4,0.05,0.062005719482834815,0.35
30,4,0.1,0.06765410410688545,0.307
15,3,0.05,0.08758738092045637,0.308
23,4,0.1,0.10640494680713011,0.232
30,3,0.2,0.16696771627804516,0.196
30,3,0.1,0.18227332292764367,0.237
10,3,0.2,0.18705904711975313,0.238
10,4,0.05,0.2882159675021928,0.152
20,3,0.1,0.30784785313855273,0.18
10,3,0.05,0.5602073070898698,0.125
15,4,0.2,0.7406716008463019,0.113
10,4,0.2,1.381602638864758,0.089
15,3,0.2,2.3397237150585517,0.065
23,3,0.2,2.426279539337725,0.002
30,4,0.2,2.5015888463329183,0.075
10,4,0.1,2.7901382609029435,0.001
15,4,0.05,3.0624849105410648,0.0
20,2,0.2,7.0096993501825695,0.056
23,3,0.05,7.1278956489006795,0.02
20,4,0.1,8.01226576482487,0.001
15,4,0.3,9.013991809920277,0.033
30,3,0.05,9.355122735960894,0.068
20,4,0.2,12.494010418257266,0.0
30,4,0.05,12.724489062642034,0.0
15,4,0.1,13.458604451333988,0.041
10,4,0.3,15.618373721304867,0.028
30,2,0.2,16.356867853267943,0.015
20,3,0.2,17.463417526883344,0.001
23,3,0.1,29.062159091551937,0.0
10,3,0.1,29.727600016510866,0.001
23,4,0.3,30.284316415940534,0.021
20,3,0.05,32.96611773473566,0.003
30,2,0.1,33.104563992247066,0.023
15,3,0.1,36.47150098909694,0.001
20,3,0.3,37.183256138269805,0.027
10,3,0.3,46.691949364404714,0.02
23,2,0.2,48.32093446249139,0.016
23,4,0.2,58.80131104875904,0.022
23,2,0.1,72.49438798820013,0.032
30,3,0.3,74.64793856876605,0.01
20,2,0.1,117.80213949019357,0.008
15,2,0.2,128.00583166711897,0.003
10,3,0.4,129.89961388187353,0.008
30,2,0.05,162.78681957490403,0.006
15,2,0.1,172.61016387757815,0.011
10,2,0.2,181.51023739443025,0.003
10,2,0.4,193.66376741875712,0.008
20,4,0.3,200.48467578623863,0.004
23,2,0.05,260.97770995735294,0.003
10,2,0.3,275.21803580335404,0.005
20,2,0.05,280.3921354867852,0.008
15,2,0.3,314.69548093746585,0.008
15,2,0.05,329.15281557225444,0.002
23,3,0.3,347.18275199694517,0.003
10,2,0.1,353.0262914635004,0.007
10,2,0.05,363.0309772944431,0.001
23,2,0.4,655.0429638580528,0.002
20,2,0.4,700.6568126644494,0.001
30,2,0.3,746.6523436625623,0.002
23,2,0.3,2135.909454223105,0.001
20,4,0.4,2257.7567111178905,0.002
15,3,0.3,2375.5838202409577,0.003
15,4,0.4,3333.104185418544,0.0
30,4,0.3,3985.384378209758,0.001
20,2,0.3,6321.718105526082,0.0
15,3,0.4,7181.095350995209,0.001
23,4,0.4,8963.691188824996,0.0
30,3,0.4,19889.68449372585,0.0
23,3,0.4,20861.26491521259,0.0
15,2,0.4,21760.334139557937,0.0
10,4,0.4,22385.473028160843,0.0
20,3,0.4,25633.881570121008,0.0
30,4,0.4,26568.83612549634,0.0
30,2,0.4,31915.37542974778,0.0
