K,d,h,J
30,3,0.1,0.057960929549445435
23,4,0.1,0.07001944037781303
20,4,0.05,0.07607320471572306
23,4,0.05,0.08108190330391844
23,3,0.05,0.1385186068071021
20,3,0.05,0.1704813592415716
15,3,0.05,0.18581647044654287
23,3,0.2,0.1883231632955609
15,4,0.3,0.2871230208716336
10,3,0.05,0.4447120860928497
10,3,0.3,0.5139627534102518
15,3,0.1,0.5175235518937782
10,3,0.1,0.9875868786919801
10,4,0.4,1.0029674951701149
20,3,0.2,1.376696029343179
20,4,0.1,1.4353792104984227
15,3,0.2,1.5672408705821743
10,4,0.1,3.1848954190624874
10,4,0.2,3.458693971228226
10,3,0.2,3.8247494993018005
15,4,0.05,4.087714690494032
20,3,0.3,4.857169816096033
30,3,0.2,5.491267377299839
10,4,0.05,10.436290303011905
30,4,0.05,12.555916711045963
20,2,0.2,14.849253413162767
23,3,0.3,17.29652194340717
30,2,0.2,18.000358718671915
30,4,0.1,19.33261655672019
23,3,0.1,20.214771488793907
15,2,0.2,22.790148509715124
20,3,0.1,23.061139497414963
20,4,0.2,25.4749337768027
23,4,0.2,25.507721806506257
23,2,0.2,26.853388072581602
30,3,0.05,27.49162672388574
15,4,0.1,33.08838333703232
10,3,0.4,39.039039805306274
10,4,0.3,56.75955231691781
20,4,0.3,57.222594094732735
30,2,0.1,61.84580519280466
23,2,0.1,72.4420113598516
30,4,0.2,77.67821764554613
30,2,0.05,140.4112324838383
30,2,0.3,146.40730280859552
15,4,0.2,153.66397508585467
20,2,0.1,162.55020111093677
15,2,0.1,179.37155155344738
10,2,0.2,185.48648059915757
15,3,0.3,296.2612100526639
15,2,0.3,305.12132075894567
23,2,0.05,305.5030666363958
15,2,0.05,307.37644294073726
20,2,0.05,317.45277115541626
10,2,0.1,338.9620759739725
15,2,0.4,350.2790128012179
10,2,0.05,358.3788132962868
30,3,0.3,361.62544723711125
10,2,0.3,476.28831218988233
23,2,0.3,625.1274508129186
15,3,0.4,998.191337803382
23,4,0.3,1379.9574476372723
23,2,0.4,2784.549447927406
30,4,0.3,4409.658570346645
20,3,0.4,4650.99218309544
20,2,0.3,5628.517771798337
10,2,0.4,5720.557874112745
23,3,0.4,6914.430161986122
20,4,0.4,9096.28171944169
30,2,0.4,12261.071175842035
23,4,0.4,13754.011210056518
15,4,0.4,18092.580876202777
20,2,0.4,229600.76199901477
30,4,0.4,333418.3519905507
30,3,0.4,413859.0554012281
