K,d,h,J
10,2,0.05,0.02708832828651045
10,2,0.1,11.717485327142894
10,2,0.2,33.874138425894444
10,2,0.3,767.16762720715
10,2,0.4,3.65908886177139
10,3,0.05,0.007689108314789373
10,3,0.1,0.016915114575987857
10,3,0.2,0.6088316932175071
10,3,0.3,0.026866009976384178
10,3,0.4,40.96804686348871
10,4,0.05,0.007755578996728867
10,4,0.1,0.026424793433811274
10,4,0.2,0.010296556962278519
10,4,0.3,50.60382948572796
10,4,0.4,75.97878500010472
15,2,0.05,0.006905884375842622
15,2,0.1,22.573371784853055
15,2,0.2,8.394931997226942
15,2,0.3,357.36789272494207
15,2,0.4,52.8301232983867
15,3,0.05,0.009407705887023273
15,3,0.1,1.5964674785882154
15,3,0.2,12.666531870394655
15,3,0.3,0.0008239211928286694
15,3,0.4,1752.205542982222
15,4,0.05,1.2032353625194219
15,4,0.1,0.007081123548023553
15,4,0.2,1.5745257594029713
15,4,0.3,2669.6828869574297
15,4,0.4,977.1090073778118
20,2,0.05,14.78524602271213
20,2,0.1,16.155813143602362
20,2,0.2,29.067876050495247
20,2,0.3,0.07917915172376193
20,2,0.4,304.87395853922567
20,3,0.05,0.006889831059357162
20,3,0.1,0.009406060074715684
20,3,0.2,981.5801043149148
20,3,0.3,23406.52849078861
20,3,0.4,59.698290237955206
20,4,0.05,0.005017935977105984
20,4,0.1,15.828235447816617
20,4,0.2,14.183123905701933
20,4,0.3,14.89175307795231
20,4,0.4,602.1788062588806
23,2,0.05,0.01197768655213368
23,2,0.1,0.03775146821734217
23,2,0.2,28.36327625533266
23,2,0.3,14.266241015022608
23,2,0.4,3746.0014770369567
23,3,0.05,7.636048312771632
23,3,0.1,8.043922832753076
23,3,0.2,1.947723087471223
23,3,0.3,30.118205947169297
23,3,0.4,1361.0561974052896
23,4,0.05,14.12750620172002
23,4,0.1,1.1496261010287718
23,4,0.2,5.776573956984944
23,4,0.3,150.01853352529562
23,4,0.4,33434.06493400859
30,2,0.05,13.020015201195978
30,2,0.1,0.0031113412028686586
30,2,0.2,3.2830439859308873
30,2,0.3,9.715711184747446
30,2,0.4,34925.885897148335
30,3,0.05,5.283421826159564
30,3,0.1,39.20020670550551
30,3,0.2,14.96035026678122
30,3,0.3,6254.719184772309
30,3,0.4,2334.4110940522783
30,4,0.05,0.41150580368621636
30,4,0.1,0.5766371692300425
30,4,0.2,14.118674787129326
30,4,0.3,66538.1809238891
30,4,0.4,87845.6795693593
