K,d,h,J,Ratio
23,4,0.1,0.3625586191101451,0.166
20,4,0.1,1.2179603097113043,0.086
23,4,0.2,1.303982916779365,0.093
10,4,0.2,2.1202635539540613,0.084
20,3,0.2,2.1365853306803984,0.048
15,4,0.1,2.17527290242069,0.088
23,4,0.05,2.5786133392086303,0.076
30,4,0.05,2.714946549873332,0.071
15,4,0.05,5.046364951274309,0.087
30,3,0.1,10.59275296391159,0.002
23,3,0.1,18.28315890381201,0.002
20,3,0.3,19.370457795848836,0.046
20,3,0.05,19.375482902540302,0.034
20,4,0.05,24.3284875252642,0.021
23,3,0.2,26.74497886867757,0.032
30,3,0.05,30.236804446458375,0.009
20,3,0.1,46.94604465784492,0.037
15,3,0.05,71.5657463061502,0.025
10,3,0.05,77.02120198545732,0.013
15,3,0.1,80.0443159925689,0.01
30,2,0.1,85.73127074329935,0.021
15,2,0.2,107.17706984781863,0.014
10,3,0.1,122.47931437611784,0.014
15,4,0.4,123.14922864153034,0.024
23,3,0.05,129.8423304344059,0.006
23,2,0.05,171.30144837750572,0.016
23,2,0.1,173.8942197813687,0.01
10,3,0.2,181.4851954585889,0.015
20,4,0.2,182.4930578969705,0.013
15,3,0.3,188.22347997196493,0.009
30,4,0.2,190.65548358801993,0.01
10,3,0.4,200.6553090772854,0.009
10,3,0.3,211.57651372338933,0.012
15,3,0.2,228.90927448271583,0.011
10,2,0.2,248.6860855416319,0.002
30,2,0.3,262.91907268742096,0.005
10,2,0.05,287.9783677092295,0.007
20,2,0.1,301.90796878049196,0.016
20,2,0.2,324.3511778246999,0.007
23,3,0.3,326.4146840709725,0.009
10,4,0.1,355.4932431537049,0.006
15,4,0.2,369.109502397777,0.011
30,4,0.1,390.9078190154421,0.004
20,3,0.4,391.83107524775335,0.007
15,3,0.4,466.39496731115065,0.013
30,3,0.2,477.6864908036696,0.0
20,2,0.05,482.8472856708017,0.012
23,2,0.2,530.7596269893962,0.005
10,4,0.3,631.1414973492817,0.005
10,2,0.3,701.5836974716897,0.002
20,4,0.3,741.026253534987,0.012
20,2,0.3,782.9844817580585,0.003
20,2,0.4,838.6558878712187,0.002
23,3,0.4,895.3397798740398,0.005
15,2,0.05,900.1804916845314,0.002
10,2,0.4,986.2371926998542,0.003
30,2,0.05,1008.5803466617665,0.001
10,4,0.05,1651.8480543383644,0.001
10,2,0.1,2493.43466228702,0.004
30,3,0.3,2629.921027595395,0.008
15,2,0.3,3433.3877106453565,0.001
10,4,0.4,3644.7296320921955,0.0
30,3,0.4,4285.773305655481,0.001
23,4,0.3,4945.686841990982,0.004
23,2,0.3,5793.353953767835,0.0
30,2,0.2,5865.767257104285,0.003
15,2,0.1,12639.17856330645,0.004
15,2,0.4,13150.424369187134,0.002
23,2,0.4,25013.614967995116,0.002
30,2,0.4,31228.401026422915,0.001
23,4,0.4,50152.29671452398,0.0
30,4,0.3,54425.81351589317,0.0
30,4,0.4,83681.14273302976,0.0
15,4,0.3,182574.00999682862,0.0
20,4,0.4,278811.79122386966,0.0
