K,d,h,J,Ratio
15,2,0.05,0.0024183397699524193,0.95
10,4,0.2,0.0030987614499304486,0.939
30,3,0.05,0.003645465074784042,0.965
30,4,0.05,0.003735053188659942,0.958
23,2,0.1,0.00486404976506172,0.98
20,4,0.05,0.004955652035532262,0.875
10,2,0.1,0.006273779319190124,0.802
10,3,0.05,0.006860611704945956,0.859
15,3,0.05,0.008351052447973434,0.824
20,2,0.05,0.010716209058171345,0.667
30,2,0.05,0.0114776623547418,0.666
10,3,0.1,0.02699069179844848,0.611
23,3,0.2,0.05526756037423505,0.263
30,3,0.2,0.16950633583291533,0.0
30,2,0.1,0.17804937963746542,0.0
23,2,0.05,0.234543138240201,0.0
30,4,0.2,0.8114291655755004,0.004
10,3,0.2,1.7936928266784666,0.003
15,2,0.2,2.057985090813996,0.002
20,3,0.05,2.0617116946480922,0.0
10,4,0.1,3.4454871198658346,0.0
15,3,0.2,4.273136239319578,0.252
15,3,0.1,4.383804221680501,0.0
23,4,0.2,4.533455117133676,0.0
15,4,0.1,5.371828110453993,0.007
15,4,0.3,6.178649863777442,0.047
15,3,0.3,6.864795419840017,0.063
30,4,0.1,7.774287009269372,0.551
30,2,0.2,7.9404215064091614,0.016
23,3,0.05,8.44972823743846,0.0
10,4,0.3,8.684130111865219,0.015
15,4,0.05,10.281805013276783,0.028
15,4,0.2,10.731927260242076,0.053
20,4,0.2,11.001152634675872,0.0
20,3,0.1,12.785602921083381,0.0
23,4,0.1,14.301875237618095,0.0
30,3,0.1,14.80541243707131,0.0
10,2,0.3,15.518410678991655,0.0
20,2,0.1,15.840095054496,0.0
15,2,0.1,15.977332155170576,0.0
10,4,0.05,16.0221239327194,0.0
20,4,0.1,16.185064106114947,0.0
20,2,0.3,16.521917410959208,0.006
23,4,0.05,16.728823116575462,0.0
23,2,0.2,24.410761900897803,0.007
10,2,0.2,29.075512967308356,0.0
10,2,0.05,33.37641462566338,0.0
23,3,0.1,36.310824711629024,0.0
20,3,0.2,39.061104660674154,0.0
10,3,0.3,72.9460813912934,0.0
23,4,0.3,83.49461841716243,0.002
20,3,0.4,90.23796493384286,0.006
20,2,0.2,100.5520531054401,0.002
15,2,0.4,141.84500656568684,0.014
20,3,0.3,321.5955665928763,0.001
10,2,0.4,383.3906778240517,0.002
23,3,0.3,646.6907026605752,0.004
30,2,0.3,724.2698688517225,0.0
20,4,0.3,1341.9851518584685,0.0
15,2,0.3,1356.4974349349586,0.0
30,2,0.4,1404.3940250295677,0.005
20,4,0.4,1641.505416003902,0.004
23,3,0.4,2481.0823189574517,0.0
30,3,0.3,3041.207381231827,0.0
10,3,0.4,3456.5468213579106,0.0
30,4,0.3,3619.3417513627137,0.0
15,4,0.4,4143.402423093341,0.003
23,2,0.4,6876.181292453289,0.0
23,4,0.4,8431.553788336916,0.0
15,3,0.4,9197.537637930476,0.0
23,2,0.3,9482.328576097443,0.001
10,4,0.4,17065.125741189633,0.0
20,2,0.4,61691.15205970075,0.0
30,4,0.4,313284.7620143157,0.001
30,3,0.4,710292.4356407168,0.0
