K,d,h,J,Ratio
20,2,0.05,0.0019867854388946216,0.966
30,2,0.1,0.0026077549134037393,0.978
30,3,0.1,0.0027081334181057936,0.957
20,4,0.05,0.003387481783018866,0.943
30,4,0.05,0.0036900089833759725,0.94
30,3,0.05,0.0038131060663503186,0.95
23,2,0.1,0.003924618334005986,0.952
30,2,0.3,0.004480769188275433,0.918
23,3,0.05,0.005051616107323386,0.92
10,3,0.05,0.007914176848838217,0.791
10,3,0.2,0.00813572291068968,0.804
15,2,0.05,0.03460713653254791,0.379
15,4,0.4,0.03868473174710278,0.407
23,3,0.1,0.40710896385589224,0.0
10,3,0.3,0.425151896890144,0.0
23,4,0.2,0.501691164284279,0.0
10,3,0.1,0.768502046536169,0.0
20,2,0.2,1.1110549324396357,0.0
23,2,0.05,1.314066377488318,0.0
15,4,0.3,1.3604789470686363,0.0
30,3,0.2,1.3894395826096924,0.116
15,3,0.05,2.032841079140138,0.005
23,4,0.05,2.07105490922561,0.013
23,2,0.3,2.441784090484739,0.0
10,4,0.2,2.9744269918479667,0.0
15,3,0.2,3.2908680022868038,0.044
10,4,0.05,4.080609953429735,0.069
15,4,0.1,5.904550826107643,0.017
15,3,0.1,6.099186133852758,0.083
15,4,0.2,7.754800190043705,0.003
10,2,0.2,10.554228937899639,0.0
15,4,0.05,11.351860847498502,0.0
20,3,0.2,11.584260035837373,0.0
23,3,0.2,11.888697573948463,0.021
20,3,0.05,12.541919907358276,0.0
20,4,0.2,12.88897214966488,0.0
30,4,0.1,13.218245824919546,0.0
10,4,0.1,13.566349373175933,0.0
30,2,0.05,13.657931858149855,0.0
15,2,0.4,14.273581429261766,0.0
23,2,0.2,14.789318167121069,0.0
20,3,0.1,15.703533505964815,0.0
23,4,0.1,15.97690767592633,0.0
15,2,0.2,16.964595501033916,0.0
20,4,0.1,17.089332236468465,0.0
23,3,0.3,18.16470525531424,0.011
15,2,0.1,18.876893964428497,0.0
20,2,0.1,21.221575083748988,0.0
10,2,0.1,22.694156823889898,0.006
10,2,0.05,29.307620101168425,0.0
30,2,0.2,31.87586794664355,0.0
30,4,0.3,53.389281126198775,0.0
20,4,0.3,57.79042696488474,0.012
20,4,0.4,98.81892337149412,0.001
15,2,0.3,123.82087226722135,0.015
20,2,0.3,143.71039547725175,0.003
30,4,0.2,149.27106322805543,0.023
20,2,0.4,193.99227353415216,0.0
10,2,0.4,220.63579948204756,0.0
10,3,0.4,256.5934629218357,0.009
20,3,0.3,330.74383830378895,0.003
10,4,0.3,695.5533149874723,0.005
15,3,0.3,811.0065771240298,0.011
15,3,0.4,909.0588753851362,0.004
23,2,0.4,917.2083302206263,0.001
10,2,0.3,1037.0680232921827,0.0
23,4,0.4,2681.8959141518017,0.0
23,4,0.3,2739.152186417817,0.0
10,4,0.4,2751.727729644828,0.001
20,3,0.4,3380.469326008493,0.0
30,2,0.4,6225.900931367394,0.0
23,3,0.4,29784.16154583331,0.0
30,3,0.3,80796.56740851587,0.0
30,3,0.4,190838.75301154077,0.0
30,4,0.4,1702230.9353938855,0.0
