K,d,h,J
10,2,0.05,345.51495606908253
10,2,0.1,718.1734763478911
10,2,0.2,1546.504909267874
10,2,0.3,807.5158005483083
10,2,0.4,63907.29246576445
10,3,0.05,179.83009588620283
10,3,0.1,127.73218851518116
10,3,0.2,226.80895423484858
10,3,0.3,1038.6935250782542
10,3,0.4,1390.9107182831758
10,4,0.05,15.612960654772706
10,4,0.1,2169.1710344466005
10,4,0.2,323.11343121308767
10,4,0.3,998.2641932064831
10,4,0.4,267.17125269491726
15,2,0.05,314.50715170019635
15,2,0.1,181.2338470745877
15,2,0.2,731.8055065832298
15,2,0.3,381.1943917313419
15,2,0.4,1441.7737565526743
15,3,0.05,26.39385208192479
15,3,0.1,4.340576651035329
15,3,0.2,32.85521821664352
15,3,0.3,682.3422121593175
15,3,0.4,37152.72113160333
15,4,0.05,7.047168716768922
15,4,0.1,7.157972836855825
15,4,0.2,3518.071609610628
15,4,0.3,3619.8743054231268
15,4,0.4,579.7946965969184
20,2,0.05,185.67598338942236
20,2,0.1,568.169163021492
20,2,0.2,90.01001024614142
20,2,0.3,2942.5366238301913
20,2,0.4,3827.2656379739915
20,3,0.05,4.183656368479456
20,3,0.1,43.428346481321036
20,3,0.2,138.32868595042416
20,3,0.3,70.46163607622378
20,3,0.4,62165.461060544185
20,4,0.05,3.883175390182402
20,4,0.1,31.545448192848383
20,4,0.2,26.759347838872632
20,4,0.3,142.0946095267113
20,4,0.4,84576.13037657226
23,2,0.05,357.24783151511684
23,2,0.1,357.37469614306684
23,2,0.2,95.82358570763786
23,2,0.3,605.4929328897454
23,2,0.4,1764.2797226903767
23,3,0.05,263.6924671416999
23,3,0.1,351.34303200092637
23,3,0.2,190.81941594396827
23,3,0.3,1601.671337019584
23,3,0.4,3529.5257484755443
23,4,0.05,0.8339871479428251
23,4,0.1,0.8298695430669575
23,4,0.2,6.613236458894219
23,4,0.3,7648.068652800365
23,4,0.4,23844.26891238492
30,2,0.05,271.68839731445587
30,2,0.1,133.9812209888507
30,2,0.2,46.45348615536534
30,2,0.3,12307.065886664379
30,2,0.4,7861.60609742217
30,3,0.05,17.509075464922788
30,3,0.1,39.15629649943264
30,3,0.2,45.915145273599094
30,3,0.3,1528.6590484859098
30,3,0.4,282832.9649369505
30,4,0.05,1.0885018578199699
30,4,0.1,0.3359569855652942
30,4,0.2,1.7123809825469836
30,4,0.3,15777.881007831493
30,4,0.4,3669.263175461135
