K,d,h,J
10,2,0.05,0.01960002882080954
10,2,0.1,17.270936043033362
10,2,0.2,47.366363872079546
10,2,0.3,2.0187990102058144
10,2,0.4,41.595861720247115
10,3,0.05,15.361660986093781
10,3,0.1,0.0023443467167471896
10,3,0.2,6.305049789436091
10,3,0.3,13.18018223800302
10,3,0.4,45.81202605256097
10,4,0.05,0.004769552332868117
10,4,0.1,0.09272104913176336
10,4,0.2,13.327508872614386
10,4,0.3,0.06933108580618295
10,4,0.4,923.9677031337226
15,2,0.05,0.003981571587288325
15,2,0.1,0.21458195569182545
15,2,0.2,0.004563653647759241
15,2,0.3,4294.69965486647
15,2,0.4,21088.689936327028
15,3,0.05,15.23249156067334
15,3,0.1,10.648049514109426
15,3,0.2,13.26989200701423
15,3,0.3,0.2018373709964819
15,3,0.4,33.20360442863995
15,4,0.05,0.00215251495357895
15,4,0.1,0.24885213845263976
15,4,0.2,14.200157740485873
15,4,0.3,16.590494832591425
15,4,0.4,26305.32800459989
20,2,0.05,14.719675434056521
20,2,0.1,16.784443874114352
20,2,0.2,45.302303311269036
20,2,0.3,12.483675543381233
20,2,0.4,56.77584389842481
20,3,0.05,0.01085319977735512
20,3,0.1,14.073975154951151
20,3,0.2,27.102488042566435
20,3,0.3,89.26571303229885
20,3,0.4,162121.40008847322
20,4,0.05,3.982323448851407
20,4,0.1,12.885408715851277
20,4,0.2,16.059402836129667
20,4,0.3,1913.8712591003834
20,4,0.4,74236.06843762213
23,2,0.05,0.002524515113953997
23,2,0.1,3.5206581971928292
23,2,0.2,16.08972261399358
23,2,0.3,0.039721105684266074
23,2,0.4,11429.999824491731
23,3,0.05,1.8445377443306998
23,3,0.1,0.008027381087983735
23,3,0.2,169.48772686536282
23,3,0.3,51618.850392516484
23,3,0.4,3568.337594769691
23,4,0.05,0.0057332489115818185
23,4,0.1,10.18347083106833
23,4,0.2,0.4042552909964406
23,4,0.3,474.16263977288816
23,4,0.4,209306.85846687903
30,2,0.05,0.002393476674368926
30,2,0.1,31.119734754916152
30,2,0.2,46.95373847368638
30,2,0.3,176.57690576765074
30,2,0.4,201.9134125711143
30,3,0.05,0.006209562415629717
30,3,0.1,4.273768281834737
30,3,0.2,187.3993129436675
30,3,0.3,64954.75124697531
30,3,0.4,14093.088690971543
30,4,0.05,13.433312698954628
30,4,0.1,11.745514070503608
30,4,0.2,12.289882539664495
30,4,0.3,115401.28550346025
30,4,0.4,2761.859117686724
