K,d,h,J,Ratio
20,4,0.05,0.004855875435160285,0.925
20,2,0.1,0.005866541570337117,0.909
20,2,0.05,0.006790224899888018,0.88
10,4,0.2,0.006919202205239331,0.874
30,3,0.05,0.0071410399652602945,0.891
30,4,0.2,0.0072610789074522685,0.791
10,4,0.3,0.007855093124676773,0.801
23,4,0.05,0.007947680000572908,0.864
30,4,0.05,0.009761019225776695,0.84
15,4,0.05,0.009961915318690796,0.831
10,3,0.05,0.012282234897808891,0.747
20,3,0.05,0.014812814028109526,0.65
15,3,0.05,0.02276320196955092,0.772
10,2,0.05,0.03330969278553348,0.631
23,2,0.3,0.04391361061390868,0.278
10,2,0.1,0.07552690135638178,0.371
15,2,0.05,0.118004424757621,0.275
20,4,0.2,0.17691000603244975,0.324
10,3,0.4,0.18559668000069407,0.245
20,2,0.2,1.6419015486717832,0.0
10,4,0.1,1.8913612102185249,0.0
30,4,0.3,2.7896294036968707,0.352
15,4,0.2,3.331386411067394,0.022
15,2,0.2,4.003253686082301,0.168
30,2,0.1,4.1403280874029935,0.4
20,3,0.1,4.198714720264759,0.26
15,4,0.1,4.237101145592108,0.114
15,3,0.1,4.38783923305358,0.14
20,4,0.1,5.556159700962016,0.297
23,2,0.05,7.034243074467238,0.08
10,2,0.2,8.552616946830033,0.071
15,2,0.3,9.659782174879064,0.021
23,4,0.1,11.623843098291456,0.162
23,4,0.2,11.827370732284223,0.0
23,2,0.1,12.221286174553757,0.014
10,4,0.05,12.926129249329732,0.0
30,3,0.1,13.988658309541142,0.0
10,3,0.2,14.454412530005436,0.0
30,4,0.1,14.604288467724118,0.0
23,3,0.05,15.714318722853996,0.0
23,3,0.2,16.99624271421514,0.0
30,2,0.05,18.87605054851486,0.0
10,3,0.3,19.073884987396585,0.001
30,3,0.2,21.71559024750484,0.002
23,3,0.1,28.14080018931277,0.0
10,3,0.1,29.409326635943536,0.0
15,2,0.1,32.2370840535924,0.0
23,2,0.2,45.61646834792381,0.001
30,3,0.3,72.64727075127394,0.002
15,3,0.4,97.97556250665583,0.003
10,4,0.4,100.94016217547923,0.008
20,2,0.3,110.25775368901793,0.001
23,3,0.3,116.24925924510238,0.01
15,4,0.3,149.37180703952995,0.002
15,3,0.3,157.16475221296312,0.005
30,2,0.4,173.79905899255064,0.0
20,3,0.2,194.1709140936061,0.005
10,2,0.3,272.3665813293696,0.0
15,3,0.2,414.69950124859406,0.0
10,2,0.4,486.35512345147674,0.007
30,2,0.3,615.8304991243357,0.002
15,4,0.4,986.2973088138372,0.0
15,2,0.4,1316.212439096897,0.002
30,2,0.2,1760.4521261113214,0.0
23,2,0.4,2750.1214088209,0.0
20,3,0.3,3347.659871573612,0.0
23,4,0.3,3501.9016681040894,0.002
23,4,0.4,9290.414233851932,0.0
20,4,0.4,11279.429286532824,0.001
20,2,0.4,14610.019077698737,0.0
23,3,0.4,20096.290357524544,0.0
20,4,0.3,67293.52293642564,0.0
30,3,0.4,96133.33651453356,0.0
20,3,0.4,252118.02076724288,0.0
30,4,0.4,321652.65843697835,0.0
