K,d,h,J,Ratio
30,4,0.1,0.41265842753863485,0.118
30,4,0.2,0.5144479521090917,0.123
20,4,0.1,0.794004860459447,0.135
15,4,0.1,0.8524836740223009,0.098
30,4,0.05,1.0659272221439833,0.089
30,3,0.1,1.2473744532299504,0.124
23,3,0.3,2.7151184350792916,0.062
20,4,0.05,3.926699408054213,0.065
15,4,0.05,4.676305735038831,0.065
30,3,0.05,5.175934337203685,0.048
10,4,0.1,5.393697087153466,0.056
23,4,0.2,6.365683300684201,0.055
15,3,0.1,10.157026193979606,0.037
23,3,0.2,14.042637936826017,0.014
23,3,0.1,19.522509143306213,0.028
23,4,0.1,34.363921635702454,0.003
20,3,0.05,38.14130029195244,0.016
10,3,0.1,46.05238893484084,0.021
15,4,0.2,67.74978836025521,0.009
30,2,0.1,69.24780418300092,0.015
15,3,0.05,86.4742867280783,0.018
23,2,0.2,99.24805817120921,0.013
15,2,0.2,102.84161047794557,0.001
23,4,0.05,140.2328688793838,0.008
20,3,0.2,160.96291473966753,0.002
20,4,0.3,176.491404618611,0.007
15,2,0.1,183.66489038025372,0.008
15,2,0.05,213.33108873073508,0.013
20,2,0.1,238.35162420098567,0.025
10,3,0.05,243.72554165393805,0.006
10,2,0.1,275.07630051175835,0.001
20,2,0.2,281.4285192723747,0.001
23,2,0.3,309.21767043892993,0.01
20,3,0.1,368.8749997152505,0.008
30,3,0.4,376.47698043376425,0.001
10,3,0.3,391.88923473097077,0.01
20,2,0.05,399.2929994937946,0.011
15,2,0.3,409.1654173687391,0.019
10,3,0.2,412.4053873232948,0.018
30,3,0.2,412.8466807786089,0.002
15,4,0.3,425.85376395405603,0.009
23,4,0.3,439.29957101243446,0.005
10,3,0.4,444.51670881683305,0.009
10,2,0.4,566.8905647997763,0.009
10,4,0.05,586.9035626953479,0.0
10,2,0.05,618.9746014445835,0.004
30,4,0.3,660.1215512487072,0.007
20,2,0.3,705.218918220896,0.009
15,2,0.4,714.7128245931034,0.003
10,4,0.3,792.8935829314921,0.007
20,4,0.2,800.5552086781062,0.0
10,2,0.2,921.1420033333341,0.002
30,2,0.3,965.1973390526466,0.011
10,2,0.3,1070.0673426484666,0.001
15,4,0.4,1111.4728923481919,0.002
30,2,0.2,1204.6301935290437,0.001
23,2,0.05,1293.537929554628,0.011
23,2,0.4,1307.232432143,0.008
15,3,0.3,1670.3683050527443,0.001
10,4,0.2,1721.8357038288225,0.011
30,2,0.05,1800.1827310549504,0.007
23,2,0.1,2068.7965853383857,0.004
23,3,0.4,2111.8291766317184,0.004
15,3,0.4,2267.8650328886374,0.0
30,2,0.4,2469.757065131139,0.001
20,3,0.4,3478.2917274313036,0.003
15,3,0.2,4214.202150165306,0.006
23,4,0.4,7136.200647852676,0.001
23,3,0.05,7159.697012517999,0.001
20,3,0.3,12690.450799987138,0.0
20,2,0.4,28450.09656861115,0.0
20,4,0.4,35197.90741321295,0.0
30,3,0.3,156693.37592067732,0.0
30,4,0.4,174073.30423420027,0.0
10,4,0.4,185025.3567857079,0.0
