K,d,h,J
15,3,0.3,0.0008239211928286694
30,2,0.1,0.0031113412028686586
20,4,0.05,0.005017935977105984
20,3,0.05,0.006889831059357162
15,2,0.05,0.006905884375842622
15,4,0.1,0.007081123548023553
10,3,0.05,0.007689108314789373
10,4,0.05,0.007755578996728867
20,3,0.1,0.009406060074715684
15,3,0.05,0.009407705887023273
10,4,0.2,0.010296556962278519
23,2,0.05,0.01197768655213368
10,3,0.1,0.016915114575987857
10,4,0.1,0.026424793433811274
10,3,0.3,0.026866009976384178
10,2,0.05,0.02708832828651045
23,2,0.1,0.03775146821734217
20,2,0.3,0.07917915172376193
30,4,0.05,0.41150580368621636
30,4,0.1,0.5766371692300425
10,3,0.2,0.6088316932175071
23,4,0.1,1.1496261010287718
10,2,0.1,11.717485327142894
15,4,0.05,1.2032353625194219
15,3,0.2,12.666531870394655
30,2,0.05,13.020015201195978
23,3,0.4,1361.0561974052896
30,4,0.2,14.118674787129326
23,4,0.05,14.12750620172002
20,4,0.2,14.183123905701933
23,2,0.3,14.266241015022608
20,2,0.05,14.78524602271213
20,4,0.3,14.89175307795231
30,3,0.2,14.96035026678122
23,4,0.3,150.01853352529562
15,4,0.2,1.5745257594029713
20,4,0.1,15.828235447816617
15,3,0.1,1.5964674785882154
20,2,0.1,16.155813143602362
15,3,0.4,1752.205542982222
23,3,0.2,1.947723087471223
15,2,0.1,22.573371784853055
30,3,0.4,2334.4110940522783
20,3,0.3,23406.52849078861
15,4,0.3,2669.6828869574297
23,2,0.2,28.36327625533266
20,2,0.2,29.067876050495247
23,3,0.3,30.118205947169297
20,2,0.4,304.87395853922567
30,2,0.2,3.2830439859308873
23,4,0.4,33434.06493400859
10,2,0.2,33.874138425894444
30,2,0.4,34925.885897148335
15,2,0.3,357.36789272494207
10,2,0.4,3.65908886177139
23,2,0.4,3746.0014770369567
30,3,0.1,39.20020670550551
10,3,0.4,40.96804686348871
10,4,0.3,50.60382948572796
15,2,0.4,52.8301232983867
30,3,0.05,5.283421826159564
23,4,0.2,5.776573956984944
20,3,0.4,59.698290237955206
20,4,0.4,602.1788062588806
30,3,0.3,6254.719184772309
30,4,0.3,66538.1809238891
10,4,0.4,75.97878500010472
23,3,0.05,7.636048312771632
10,2,0.3,767.16762720715
23,3,0.1,8.043922832753076
15,2,0.2,8.394931997226942
30,4,0.4,87845.6795693593
30,2,0.3,9.715711184747446
15,4,0.4,977.1090073778118
20,3,0.2,981.5801043149148
