K,d,h,J
20,4,0.3,0.0007853135863417866
10,2,0.3,0.0011480386941942532
15,4,0.3,0.001325579312236484
20,2,0.3,0.0016307517046253409
23,4,0.4,0.0016629452659533586
20,3,0.2,0.0016650094685827293
20,3,0.3,0.0018130835076193205
30,3,0.4,0.0018522283828679355
10,3,0.3,0.0019682438777392217
15,2,0.3,0.0021486577354070157
23,3,0.2,0.0021824855312138325
23,2,0.3,0.002281790416864471
30,3,0.2,0.0024667060625362834
20,4,0.2,0.0024986016140402393
30,4,0.4,0.0027191337492383227
20,2,0.4,0.0027606531729209463
23,3,0.4,0.002968114161939456
10,4,0.3,0.002997238667370431
30,3,0.3,0.0033033227181836103
15,4,0.1,0.00334980094771304
30,2,0.2,0.003409835318732304
23,2,0.4,0.0034960560044132475
20,2,0.2,0.0035163378291201866
23,2,0.1,0.003576069961724936
23,4,0.1,0.0035826070483585166
10,2,0.2,0.0038354899604732717
10,4,0.2,0.003905213895260746
20,3,0.1,0.00393887920412092
15,3,0.1,0.004289050956778905
23,2,0.2,0.0042999286078058635
30,2,0.3,0.004331450355612814
15,2,0.2,0.00445830634918
30,3,0.1,0.0045951308939105135
15,4,0.2,0.0046772944639301515
30,4,0.3,0.004787885211128387
23,3,0.3,0.005299675957729861
20,2,0.1,0.0053846698494494265
30,4,0.1,0.005454373711008876
15,3,0.3,0.005454699215812625
20,4,0.1,0.005501550612162061
30,2,0.1,0.005630115338553248
10,3,0.2,0.006177864104143788
30,2,0.05,0.007582144273460315
10,4,0.4,0.007789675954103799
15,4,0.4,0.007994458828347508
30,3,0.05,0.00852234550932824
15,3,0.2,0.009131687882635098
30,4,0.05,0.009324939230856167
15,3,0.4,0.009435070235925132
23,3,0.1,0.009690677742832622
23,2,0.05,0.009701485913418838
23,3,0.05,0.009830822864173153
10,2,0.1,0.01038715267806282
15,2,0.1,0.01076561655319489
20,3,0.05,0.011277006834953912
20,2,0.05,0.011453988947388749
20,4,0.4,0.011632537070062173
15,2,0.4,0.011732758216624195
10,4,0.1,0.012818240586633016
10,3,0.1,0.013927059525151886
23,4,0.05,0.014147512911460117
23,4,0.2,0.01718537306053281
10,4,0.05,0.0183627557727916
10,3,0.05,0.01935741926505582
15,3,0.05,0.019912896567985984
30,4,0.2,0.0199918047162519
20,4,0.05,0.02007374133767262
23,4,0.3,0.02073818730074368
15,4,0.05,0.023442313436644373
10,2,0.05,0.02605008898644281
10,3,0.4,0.02926400326605259
15,2,0.05,0.03626973611713883
10,2,0.4,0.4842254596734297
30,2,0.4,0.5008428530114835
20,3,0.4,12.24559906974878
