K,d,h,J
23,3,0.3,0.00027240995385181355
15,4,0.4,0.0005096521246452566
30,4,0.3,0.0005117284752766509
20,4,0.2,0.000595171417080602
23,4,0.2,0.0009088073193744871
20,4,0.1,0.0009151724421146553
30,4,0.2,0.0009231141255658899
15,4,0.2,0.0010428604238155311
10,4,0.2,0.0010838272152538767
23,2,0.3,0.001296355578964284
23,4,0.3,0.001344695067719494
30,3,0.2,0.001385037207158151
30,4,0.1,0.001522968652678631
15,3,0.2,0.0015839815100399273
20,3,0.1,0.0016606462486778262
15,4,0.1,0.001695691681352615
15,3,0.1,0.0019696989704304263
30,2,0.4,0.001991073940358241
23,4,0.1,0.0020237880299383755
10,2,0.3,0.0020989556033856258
15,2,0.05,0.002110692917153058
15,2,0.4,0.002122409186550711
10,3,0.2,0.0021398317630650578
20,2,0.1,0.002305473120200056
20,2,0.4,0.0023154518250987186
20,4,0.3,0.0023970898893893645
23,2,0.2,0.0024220385892797297
23,3,0.4,0.0026294954797536256
15,4,0.3,0.002673643791773719
15,2,0.2,0.0026820089733434215
20,2,0.05,0.0027465866228941205
23,2,0.4,0.002798484589177336
10,4,0.3,0.002945411356940472
20,3,0.4,0.002966907609680217
20,2,0.2,0.002990203140440016
30,2,0.05,0.0030271673314592002
23,3,0.1,0.003050716487991062
23,4,0.05,0.0030893546239392925
15,4,0.05,0.0034206574446747047
15,2,0.1,0.003639798920243283
23,3,0.2,0.0037148504629100506
20,3,0.05,0.003905069863552845
10,2,0.2,0.0040260471948819435
15,3,0.4,0.004075009030211689
20,3,0.3,0.0041825464949137876
30,3,0.1,0.004509189022585163
10,4,0.1,0.0045296141679407416
23,2,0.1,0.004552638757751668
10,3,0.3,0.004666442563044317
23,2,0.05,0.005088938327448222
10,2,0.1,0.005397828207122542
30,2,0.1,0.005792295672369918
23,3,0.05,0.006343704558831354
20,4,0.4,0.006480779118467346
30,4,0.05,0.006778441301860288
10,4,0.05,0.006859894890418934
20,3,0.2,0.006919705806658003
20,2,0.3,0.006957880770931743
15,2,0.3,0.007268770607631929
30,3,0.05,0.007797438811585235
10,3,0.1,0.008513973932720523
20,4,0.05,0.008564469183665427
10,3,0.05,0.009244150674436923
10,4,0.4,0.009395076013434941
15,3,0.05,0.009622364581754583
10,2,0.05,0.015083562308193167
30,2,0.2,0.017888251248488165
30,2,0.3,0.01899380945251439
30,4,0.4,0.034147011240962435
15,3,0.3,0.03722746663061772
10,2,0.4,0.038065149072017496
23,4,0.4,2.4630414135929226
30,3,0.3,3.007081268573971
10,3,0.4,3.160888382351176
30,3,0.4,1670.3442707670654
