K,d,h,J
10,2,0.05,16.63106700372313
10,2,0.1,0.01580601429650516
10,2,0.2,29.942787463172635
10,2,0.3,0.009928016545753454
10,2,0.4,2.8396490281573707
10,3,0.05,0.00657485037168184
10,3,0.1,13.719007459206042
10,3,0.2,31.477462221728135
10,3,0.3,2006.8274489479984
10,3,0.4,341.45504130738846
10,4,0.05,0.0178364145717905
10,4,0.1,0.11968572500286201
10,4,0.2,1.4940657857720934
10,4,0.3,1.0706287781245687
10,4,0.4,2119.5546102192766
15,2,0.05,0.012976113082712279
15,2,0.1,0.6566481547725571
15,2,0.2,33.731869182510486
15,2,0.3,4521.538927880097
15,2,0.4,0.9571033888333603
15,3,0.05,0.0032380417364168677
15,3,0.1,13.00272979648834
15,3,0.2,0.10318422004703359
15,3,0.3,49.994729558507494
15,3,0.4,84.43688866008345
15,4,0.05,0.008656295928362034
15,4,0.1,12.732191298204455
15,4,0.2,0.1785225167990389
15,4,0.3,4291.257020273279
15,4,0.4,26.184631898771958
20,2,0.05,32.30414821373053
20,2,0.1,28.36502979006715
20,2,0.2,15.849170172447874
20,2,0.3,0.06505507473050569
20,2,0.4,60.855797249479906
20,3,0.05,0.003098913514118356
20,3,0.1,9.588451505780212
20,3,0.2,13.065047363752724
20,3,0.3,319.8141152856625
20,3,0.4,16517.21757122278
20,4,0.05,0.801802204877825
20,4,0.1,14.239323519189252
20,4,0.2,61.702356686664146
20,4,0.3,34.85036050162736
20,4,0.4,24444.56102285881
23,2,0.05,3.829021303339482
23,2,0.1,4.41364459397495
23,2,0.2,18.679952998408485
23,2,0.3,1.2805704498661563
23,2,0.4,903.8293749984672
23,3,0.05,0.006863891195746832
23,3,0.1,11.089278913502723
23,3,0.2,1.120159815447409
23,3,0.3,2667.876132497337
23,3,0.4,7923.05533566038
23,4,0.05,0.0036520366418274627
23,4,0.1,8.835583230421154
23,4,0.2,29.030079755483584
23,4,0.3,2245.6185441374746
23,4,0.4,262750.4463298675
30,2,0.05,0.18500208308748697
30,2,0.1,26.236800317636405
30,2,0.2,0.016635583037549882
30,2,0.3,438.86591350705424
30,2,0.4,18978.664933177297
30,3,0.05,0.0037118506830636855
30,3,0.1,37.70357041822093
30,3,0.2,189.82783930808287
30,3,0.3,0.02936065756843817
30,3,0.4,419.857101805588
30,4,0.05,14.951048622478018
30,4,0.1,32.48967402372515
30,4,0.2,41.67284845863942
30,4,0.3,5.1551109542214375
30,4,0.4,62904.232603156015
