K,d,h,J
10,2,0.05,390.2762858387985
10,2,0.1,242.47183691394665
10,2,0.2,466.2650279266708
10,2,0.3,352.86965096774134
10,2,0.4,881.0445913513942
10,3,0.05,322.48522786225635
10,3,0.1,470.87977323487263
10,3,0.2,407.8343724477498
10,3,0.3,253.34754449964464
10,3,0.4,2303.373440947952
10,4,0.05,102.00211224819276
10,4,0.1,4.198819567676123
10,4,0.2,102.59612675895829
10,4,0.3,256.1592875199126
10,4,0.4,819.9537486681709
15,2,0.05,437.06551500430163
15,2,0.1,323.8552083619461
15,2,0.2,1061.1784804586719
15,2,0.3,924.1213192838206
15,2,0.4,4556.478943869957
15,3,0.05,20.915273297518215
15,3,0.1,190.71449406197192
15,3,0.2,42.20520224393142
15,3,0.3,136.92529241330556
15,3,0.4,472.10139218351344
15,4,0.05,9.249773280945458
15,4,0.1,2.267185306660198
15,4,0.2,14.514239736362727
15,4,0.3,17331.046939918233
15,4,0.4,2360.4700387051116
20,2,0.05,553.7922192881091
20,2,0.1,237.2536424991302
20,2,0.2,670.3675271052564
20,2,0.3,818.9692631252971
20,2,0.4,3958.6993830230203
20,3,0.05,140.55263022648387
20,3,0.1,50.87764176769522
20,3,0.2,1759.4531796418473
20,3,0.3,990.4153101814671
20,3,0.4,39922.522621082535
20,4,0.05,0.9936644386030017
20,4,0.1,1.0275935858893352
20,4,0.2,0.9274099691950409
20,4,0.3,231.252995762029
20,4,0.4,2109.3678834716757
23,2,0.05,293.80557262924515
23,2,0.1,299.0186833329729
23,2,0.2,139.42358028762578
23,2,0.3,10543.077511433125
23,2,0.4,1181.1127525481797
23,3,0.05,6.088288401105286
23,3,0.1,101.67541889061401
23,3,0.2,90.9400575580608
23,3,0.3,2937.20660754167
23,3,0.4,440.41632686326255
23,4,0.05,1.9375230817427187
23,4,0.1,0.4692593833107405
23,4,0.2,680.2230455283385
23,4,0.3,1472.133677822109
23,4,0.4,6201.7228799632
30,2,0.05,464.5032517541201
30,2,0.1,81.82433086776413
30,2,0.2,2719.538913316006
30,2,0.3,2768.830007888472
30,2,0.4,2134.392592950193
30,3,0.05,1.665772155540722
30,3,0.1,0.8483984716985774
30,3,0.2,1393.1437764638758
30,3,0.3,1858.4670498735052
30,3,0.4,9528.635212096488
30,4,0.05,0.9111552983671891
30,4,0.1,0.9719067884168162
30,4,0.2,159.29311782054103
30,4,0.3,30388.419319910063
30,4,0.4,2028.7861263822172
