30,4,0.05,0.03567221296817525
20,4,0.05,0.03853136080801743
15,4,0.1,0.056457342413435675
10,4,0.05,0.12278120856637256
23,3,0.1,0.1267347093528811
30,4,0.1,0.21390128014765988
23,3,0.2,0.5464879539699542
23,4,0.1,0.5494283593533535
23,4,0.2,0.6965089455947554
10,3,0.05,0.9763075148200808
10,4,0.1,10.01791130981109
30,3,0.4,11281.827739388656
10,4,0.4,1139.4997994518483
30,4,0.2,11.447871978334161
20,3,0.4,11974.344984172874
30,3,0.05,1.266818743327127
10,4,0.2,1.3607481731378872
23,2,0.2,1373.0984425879817
20,3,0.2,14.112032369658444
20,2,0.1,146.33562152606552
30,3,0.1,15.070628107865925
30,2,0.4,155342.89437756367
15,3,0.05,16.725348892775134
23,3,0.4,17787.16751512514
20,4,0.2,18.750215205451763
15,2,0.4,19874.951604672384
20,4,0.3,205.35319350276706
20,2,0.4,2088.1891803706017
30,3,0.2,21.300607739582958
30,2,0.05,213.12985219629556
23,3,0.05,2.1530537509870573
20,4,0.1,23.504274743020986
20,3,0.1,23.885731716161008
23,4,0.3,240.083861719197
15,2,0.1,256.52267866607315
15,4,0.2,2.5711860056314384
15,3,0.1,2.77195011946275
10,2,0.1,294.84490653137254
20,2,0.05,294.95666317655406
30,4,0.4,29621.128404723728
23,2,0.05,297.0089233753113
10,3,0.4,302.51533545250214
23,2,0.3,316.44080084246946
10,2,0.05,327.9210591738416
15,2,0.2,328.54783746109575
10,3,0.2,33.09776721696846
20,3,0.3,341.705461254292
10,2,0.3,346.8587039172118
15,2,0.05,353.88124122109434
23,4,0.05,35.394944266302296
30,2,0.2,3.5682324100577874
15,3,0.4,3597.7209592972217
10,2,0.2,360.3185291063438
15,4,0.05,3.681425652302465
30,3,0.3,386.53324177097437
23,3,0.3,389.4645869354298
10,2,0.4,392.7043288982156
15,4,0.4,4039.7922731973404
20,2,0.3,416.3654296406534
20,3,0.05,43.22572085471971
23,4,0.4,4374.339009131128
20,2,0.2,43.801076068160334
10,3,0.1,48.091741230492936
30,4,0.3,4919.466346792134
23,2,0.4,5678.922774718433
15,4,0.3,63.60037528819329
15,3,0.3,6562.562285375445
30,2,0.3,67.27353918601192
15,2,0.3,677.4921194298657
15,3,0.2,69.35920316164815
10,4,0.3,7.255851298662498
30,2,0.1,78.04597008741418
10,3,0.3,839.3191507991604
20,4,0.4,887.8846607331975
23,2,0.1,95.31097881243518
