K,d,h,J
10,2,0.05,327.9210591738416
10,2,0.1,294.84490653137254
10,2,0.2,360.3185291063438
10,2,0.3,346.8587039172118
10,2,0.4,392.7043288982156
10,3,0.05,0.9763075148200808
10,3,0.1,48.091741230492936
10,3,0.2,33.09776721696846
10,3,0.3,839.3191507991604
10,3,0.4,302.51533545250214
10,4,0.05,0.12278120856637256
10,4,0.1,10.01791130981109
10,4,0.2,1.3607481731378872
10,4,0.3,7.255851298662498
10,4,0.4,1139.4997994518483
15,2,0.05,353.88124122109434
15,2,0.1,256.52267866607315
15,2,0.2,328.54783746109575
15,2,0.3,677.4921194298657
15,2,0.4,19874.951604672384
15,3,0.05,16.725348892775134
15,3,0.1,2.77195011946275
15,3,0.2,69.35920316164815
15,3,0.3,6562.562285375445
15,3,0.4,3597.7209592972217
15,4,0.05,3.681425652302465
15,4,0.1,0.056457342413435675
15,4,0.2,2.5711860056314384
15,4,0.3,63.60037528819329
15,4,0.4,4039.7922731973404
20,2,0.05,294.95666317655406
20,2,0.1,146.33562152606552
20,2,0.2,43.801076068160334
20,2,0.3,416.3654296406534
20,2,0.4,2088.1891803706017
20,3,0.05,43.22572085471971
20,3,0.1,23.885731716161008
20,3,0.2,14.112032369658444
20,3,0.3,341.705461254292
20,3,0.4,11974.344984172874
20,4,0.05,0.03853136080801743
20,4,0.1,23.504274743020986
20,4,0.2,18.750215205451763
20,4,0.3,205.35319350276706
20,4,0.4,887.8846607331975
23,2,0.05,297.0089233753113
23,2,0.1,95.31097881243518
23,2,0.2,1373.0984425879817
23,2,0.3,316.44080084246946
23,2,0.4,5678.922774718433
23,3,0.05,2.1530537509870573
23,3,0.1,0.1267347093528811
23,3,0.2,0.5464879539699542
23,3,0.3,389.4645869354298
23,3,0.4,17787.16751512514
23,4,0.05,35.394944266302296
23,4,0.1,0.5494283593533535
23,4,0.2,0.6965089455947554
23,4,0.3,240.083861719197
23,4,0.4,4374.339009131128
30,2,0.05,213.12985219629556
30,2,0.1,78.04597008741418
30,2,0.2,3.5682324100577874
30,2,0.3,67.27353918601192
30,2,0.4,155342.89437756367
30,3,0.05,1.266818743327127
30,3,0.1,15.070628107865925
30,3,0.2,21.300607739582958
30,3,0.3,386.53324177097437
30,3,0.4,11281.827739388656
30,4,0.05,0.03567221296817525
30,4,0.1,0.21390128014765988
30,4,0.2,11.447871978334161
30,4,0.3,4919.466346792134
30,4,0.4,29621.128404723728
